Date,Day,Hour,Minute,Mean Activity (g),Asleep (proportion),Wearing (proportion),Steps (average per min),Sedentary Activity (proportion),Light Activity (proportion),Moderate Activity (proportion),Vigorous Activity (proportion)
2018-03-26T00:00:00.000Z,0,0,0,0.003643233,0.193548387,1,0.25,1,0,0,0
2018-03-26T01:00:00.000Z,0,1,60,0.003980817,0.62295082,1,0.316666667,1,0,0,0
2018-03-26T02:00:00.000Z,0,2,120,0.00495765,0.35483871,1,0.55,1,0,0,0
2018-03-26T03:00:00.000Z,0,3,180,0.003853167,0.396825397,1,0.283333333,1,0,0,0
2018-03-26T04:00:00.000Z,0,4,240,0.004871,0.459016393,1,0.65,1,0,0,0
2018-03-26T05:00:00.000Z,0,5,300,0.004762533,0.409836066,1,0.533333333,1,0,0,0
2018-03-26T06:00:00.000Z,0,6,360,0.014502183,0.180327869,1,3.316666667,0.983333333,0,0.016666667,0
2018-03-26T07:00:00.000Z,0,7,420,0.013343683,0,1,3.05,1,0,0,0
2018-03-26T08:00:00.000Z,0,8,480,0.023935867,0,1,7.15,0.95,0.016666667,0.033333333,0
2018-03-26T09:00:00.000Z,0,9,540,0.019346133,0,1,5.583333333,0.966666667,0.033333333,0,0
2018-03-26T10:00:00.000Z,0,10,600,0.117718566,0,1,27.9,0.6,0.05,0.25,0.1
2018-03-26T11:00:00.000Z,0,11,660,0.023613333,0,1,6.666666667,0.966666667,0.016666667,0.016666667,0
2018-03-26T12:00:00.000Z,0,12,720,0.026677933,0,1,6.533333333,0.933333333,0.033333333,0.033333333,0
2018-03-26T13:00:00.000Z,0,13,780,0.023138967,0,1,6.883333333,0.966666667,0.016666667,0.016666667,0
2018-03-26T14:00:00.000Z,0,14,840,0.017175967,0,1,4.116666667,1,0,0,0
2018-03-26T15:00:00.000Z,0,15,900,0.024189417,0,1,7.083333333,0.933333333,0.05,0.016666667,0
2018-03-26T16:00:00.000Z,0,16,960,0.033001867,0,1,11.01666667,0.916666667,0.05,0.033333333,0
2018-03-26T17:00:00.000Z,0,17,1020,0.033271067,0,1,9.666666667,0.95,0,0.05,0
2018-03-26T18:00:00.000Z,0,18,1080,0.0281718,0,1,9.75,0.95,0.016666667,0.033333333,0
2018-03-26T19:00:00.000Z,0,19,1140,0.034265716,0,1,12.26666667,0.833333333,0.1,0.066666667,0
2018-03-26T20:00:00.000Z,0,20,1200,0.011482617,0.566666667,0.5,3.016666667,0.966666667,0.016666667,0.016666667,0
2018-03-26T21:00:00.000Z,0,21,1260,0.029724633,0.032786885,1,10.01666667,0.85,0.066666667,0.083333333,0
